央视频道,#genre#
CCTV-1高清,http://60.216.247.173:55555/udp/239.253.242.77:8000
CCTV-2高清,http://60.216.247.173:55555/udp/239.253.242.234:8000
CCTV-3高清,http://60.216.247.173:55555/udp/239.253.242.191:8000
CCTV-4高清,http://60.216.247.173:55555/udp/239.253.242.111:8000
CCTV-5高清,http://60.216.247.173:55555/udp/239.253.242.192:8000
CCTV-5+高清,http://60.216.247.173:55555/udp/239.253.242.80:8000
CCTV-6高清,http://60.216.247.173:55555/udp/239.253.242.193:8000
CCTV-7高清,http://60.216.247.173:55555/udp/239.253.242.235:8000
CCTV-8高清,http://60.216.247.173:55555/udp/239.253.242.194:8000
CCTV-9高清,http://60.216.247.173:55555/udp/239.253.242.79:8000
CCTV-10高清,http://60.216.247.173:55555/udp/239.253.242.236:8000
CCTV11高清,http://60.216.247.173:55555/udp/239.253.242.12:8000
CCTV-12高清,http://60.216.247.173:55555/udp/239.253.242.237:8000
CCTV13高清,http://60.216.247.173:55555/udp/239.253.242.14:8000
CCTV-14高清,http://60.216.247.173:55555/udp/239.253.242.238:8000
CCTV15高清,http://60.216.247.173:55555/udp/239.253.242.16:8000
CCTV-17高清,http://60.216.247.173:55555/udp/239.253.242.168:8000
CGTN 英语,http://60.216.247.173:55555/udp/239.253.242.17:8000
山东频道,#genre#
山东卫视高清,http://60.216.247.173:55555/udp/239.253.242.78:8000
山东文旅高清,http://60.216.247.173:55555/udp/239.253.242.19:8000
山东生活高清,http://60.216.247.173:55555/udp/239.253.242.20:8000
山东综艺高清,http://60.216.247.173:55555/udp/239.253.242.21:8000
山东体育高清,http://60.216.247.173:55555/udp/239.253.242.22:8000
山东新闻高清,http://60.216.247.173:55555/udp/239.253.242.23:8000
山东农科高清,http://60.216.247.173:55555/udp/239.253.242.24:8000
山东少儿高清,http://60.216.247.173:55555/udp/239.253.242.25:8000
山东教育HD,http://60.216.247.173:55555/udp/239.253.242.59:8000
齐鲁高清,http://60.216.247.173:55555/udp/239.253.242.18:8000
卫视频道,#genre#
北京卫视高清,http://60.216.247.173:55555/udp/239.253.242.85:8000
东方卫视高清,http://60.216.247.173:55555/udp/239.253.242.86:8000
湖南卫视高清,http://60.216.247.173:55555/udp/239.253.242.82:8000
江苏卫视高清,http://60.216.247.173:55555/udp/239.253.242.83:8000
浙江卫视高清,http://60.216.247.173:55555/udp/239.253.242.84:8000
安徽卫视高清,http://60.216.247.173:55555/udp/239.253.242.87:8000
湖北卫视高清,http://60.216.247.173:55555/udp/239.253.242.88:8000
天津卫视高清,http://60.216.247.173:55555/udp/239.253.242.89:8000
广东卫视高清,http://60.216.247.173:55555/udp/239.253.242.90:8000
深圳卫视高清,http://60.216.247.173:55555/udp/239.253.242.91:8000
辽宁卫视高清,http://60.216.247.173:55555/udp/239.253.242.92:8000
黑龙江卫视高清,http://60.216.247.173:55555/udp/239.253.242.93:8000
海南卫视高清,http://60.216.247.173:55555/udp/239.253.242.35:8000
重庆卫视高清,http://60.216.247.173:55555/udp/239.253.242.38:8000
广西卫视高清,http://60.216.247.173:55555/udp/239.253.242.40:8000
云南卫视高清,http://60.216.247.173:55555/udp/239.253.242.42:8000
河南卫视高清,http://60.216.247.173:55555/udp/239.253.242.44:8000
吉林卫视高清,http://60.216.247.173:55555/udp/239.253.242.46:8000
江西卫视高清,http://60.216.247.173:55555/udp/239.253.242.47:8000
山西卫视,http://60.216.247.173:55555/udp/239.253.242.48:8000
河北卫视高清,http://60.216.247.173:55555/udp/239.253.242.112:8000
贵州卫视高清,http://60.216.247.173:55555/udp/239.253.242.113:8000
陕西卫视高清,http://60.216.247.173:55555/udp/239.253.242.49:8000
四川卫视高清,http://60.216.247.173:55555/udp/239.253.242.50:8000
宁夏卫视高清,http://60.216.247.173:55555/udp/239.253.242.53:8000
青海卫视高清,http://60.216.247.173:55555/udp/239.253.242.54:8000
西藏卫视,http://60.216.247.173:55555/udp/239.253.242.56:8000
兵团卫视,http://60.216.247.173:55555/udp/239.253.242.57:8000
内蒙古,http://60.216.247.173:55555/udp/239.253.242.58:8000
新疆卫视,http://60.216.247.173:55555/udp/239.253.242.60:8000
甘肃卫视高清,http://60.216.247.173:55555/udp/239.253.242.74:8000
东南卫视高清,http://60.216.247.173:55555/udp/239.253.242.105:8000
厦门卫视,http://60.216.247.173:55555/udp/239.253.242.106:8000
三沙卫视,http://60.216.247.173:55555/udp/239.253.242.171:8000
东方财经高清,http://60.216.247.173:55555/udp/239.253.242.94:8000
生活频道,#genre#
卡酷少儿HD,http://60.216.247.173:55555/udp/239.253.242.61:8000
金鹰卡通高清,http://60.216.247.173:55555/udp/239.253.242.62:8000
哈哈炫动,http://60.216.247.173:55555/udp/239.253.242.63:8000
优漫卡通,http://60.216.247.173:55555/udp/239.253.242.64:8000
嘉佳卡通,http://60.216.247.173:55555/udp/239.253.242.65:8000
海洋高清,http://60.216.247.173:55555/udp/239.253.242.67:8000
大湾卫视,http://60.216.247.173:55555/udp/239.253.242.69:8000
农林卫视,http://60.216.247.173:55555/udp/239.253.242.70:8000
环球,http://60.216.247.173:55555/udp/239.253.242.71:8000
优优宝贝,http://60.216.247.173:55555/udp/239.253.242.72:8000
车迷频道,http://60.216.247.173:55555/udp/239.253.242.73:8000
生态环境,http://60.216.247.173:55555/udp/239.253.242.75:8000
中华特产,http://60.216.247.173:55555/udp/239.253.242.76:8000
延边卫视,http://60.216.247.173:55555/udp/239.253.242.121:8000
梨园频道高清,http://60.216.247.173:55555/udp/239.253.242.139:8000
武术世界高清,http://60.216.247.173:55555/udp/239.253.242.140:8000
文物宝库高清,http://60.216.247.173:55555/udp/239.253.242.141:8000
精彩影视高清,http://60.216.247.173:55555/udp/239.253.242.142:8000
茶频道高清,http://60.216.247.173:55555/udp/239.253.242.143:8000
