央视频道,#genre#
CCTV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2,http://39.137.76.32:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3,http://39.137.76.32:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4,http://39.137.76.32:8089/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5,http://39.137.76.32:8089/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6,http://39.137.76.32:8089/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7,http://39.137.76.32:8089/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8,http://39.137.76.32:8089/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9,http://39.137.76.32:8089/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10,http://39.137.76.32:8089/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11,http://39.137.76.32:8089/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12,http://39.137.76.32:8089/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13,http://39.137.76.32:8089/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14,http://39.137.76.32:8089/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15,http://39.137.76.32:8089/00/SNM/CHANNEL00000015/index.m3u8
CCTV-17,http://39.137.76.32:8089/00/SNM/CHANNEL00000303/index.m3u8
CCTV-NEWS,http://39.137.76.32:8089/00/SNM/CHANNEL00000009/index.m3u8
卫视频道,#genre#
安徽卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000328/index.m3u8
北京卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000302/index.m3u8
东方卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000309/index.m3u8
东南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000310/index.m3u8
甘肃卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000046/index.m3u8
广东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000307/index.m3u8
广饶新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001043/index.m3u8
广西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000038/index.m3u8
贵州卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000329/index.m3u8
河北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000330/index.m3u8
河南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000037/index.m3u8
黑龙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000306/index.m3u8
湖北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000325/index.m3u8
湖南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000324/index.m3u8
吉林卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000036/index.m3u8
江苏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000304/index.m3u8
江西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000035/index.m3u8
辽宁卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000326/index.m3u8
旅游卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000030/index.m3u8
内蒙古卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000040/index.m3u8
青海卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000042/index.m3u8
山西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000029/index.m3u8
深圳卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000308/index.m3u8
四川卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000033/index.m3u8
天津卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000327/index.m3u8
西藏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000044/index.m3u8
云南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000039/index.m3u8
浙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000305/index.m3u8
重庆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000023/index.m3u8
财富天下,http://39.137.76.32:8089/00/SNM/CHANNEL00000607/index.m3u8
惠民综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001009/index.m3u8
金鹰纪实,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000334/index.m3u8
金鹰卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000047/index.m3u8
居家购物,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000700/index.m3u8
卡酷少儿,http://39.137.76.32:8089/00/SNM/CHANNEL00000661/index.m3u8
炫动卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000049/index.m3u8
山东频道,#genre#
山东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000301/index.m3u8
山东齐鲁,http://39.137.76.32:8089/00/SNM/CHANNEL00000313/index.m3u8
山东生活,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000336/index.m3u8
山东公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000314/index.m3u8
山东体育,http://39.137.76.32:8089/00/SNM/CHANNEL00000315/index.m3u8
山东影视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000338/index.m3u8
山东教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000331/index.m3u8
山东农科,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000340/index.m3u8
山东海洋,http://39.137.76.32:8089/00/SNM/CHANNEL00000662/index.m3u8
济南新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000312/index.m3u8
济南都市,http://39.137.76.32:8089/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://39.137.76.32:8089/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://39.137.76.32:8089/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://39.137.76.32:8089/00/SNM/CHANNEL00000065/index.m3u8
济南少儿,http://39.137.76.32:8089/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://39.137.76.32:8089/00/SNM/CHANNEL00000244/index.m3u8
滨州公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000221/index.m3u8
滨州新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000220/index.m3u8
茌平综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001048/index.m3u8
德州公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000207/index.m3u8
德州新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000206/index.m3u8
东平新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001001/index.m3u8
东营公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000227/index.m3u8
东营新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000226/index.m3u8
肥城综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001039/index.m3u8
高青综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001023/index.m3u8
冠县综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001040/index.m3u8
菏泽-1,http://39.137.76.32:8089/00/SNM/CHANNEL00000232/index.m3u8
菏泽-2,http://39.137.76.32:8089/00/SNM/CHANNEL00000234/index.m3u8
桓台TV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001020/index.m3u8
济宁教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000239/index.m3u8
济阳综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001030/index.m3u8
嘉祥新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001016/index.m3u8
金乡新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001034/index.m3u8
莒南综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001011/index.m3u8
巨野新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001046/index.m3u8
兰陵综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001032/index.m3u8
聊城公共,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000251/index.m3u8
聊城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000250/index.m3u8
临沂公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000256/index.m3u8
临沂农科,http://39.137.76.32:8089/00/SNM/CHANNEL00000121/index.m3u8
临沂综合,http://39.137.76.32:8089/00/SNM/CHANNEL00000120/index.m3u8
蒙阴TV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001031/index.m3u8
商河综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001008/index.m3u8
莘县-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001047/index.m3u8
泰安公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000270/index.m3u8
泰安新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000269/index.m3u8
滕州综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001028/index.m3u8
无棣综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001024/index.m3u8
新泰新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001029/index.m3u8
阳信新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001036/index.m3u8
沂源新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001002/index.m3u8
郓城新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001041/index.m3u8
枣庄教育,http://39.137.76.32:8089/00/SNM/CHANNEL00001026/index.m3u8
枣庄新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001025/index.m3u8
沾化综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001035/index.m3u8
长清新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001018/index.m3u8
淄博都市,http://39.137.76.32:8089/00/SNM/CHANNEL00000293/index.m3u8
淄博公共,http://39.137.76.32:8089/00/SNM/CHANNEL00001037/index.m3u8
淄博科教,http://39.137.76.32:8089/00/SNM/CHANNEL00000295/index.m3u8
淄博生活,http://39.137.76.32:8089/00/SNM/CHANNEL00000294/index.m3u8
淄博新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000292/index.m3u8
淄川新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001007/index.m3u8
邹城新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001038/index.m3u8
